route,route_flow
"[4944, 4927, 5010, 9163, 9162, 5082, 5021, 4950, 4907, 4893, 4927, 4806, 4697]",20
"[5122, 9174, 5190, 5193, 5217, 5193, 5190, 9174, 5122, 8352, 5012, 4938, 4879, 4893]",20
"[5217, 5193, 5190, 9174, 5122, 8352, 5012, 5021, 9163, 5010, 4927, 4806, 4808, 4694]",20
"[5012, 8352, 5122, 5100, 9156, 5100, 5122, 5123, 5126, 9176, 8359, 5193, 5217]",20
"[4732, 4881, 4863, 4854, 4835, 4944, 4961, 4854, 4863, 4881, 4732, 4724, 4706]",20
"[5123, 5122, 5100, 9156, 5100, 5122, 8352, 5012, 5021, 9163, 5010, 4927, 4944, 4835, 4854]",20
"[9163, 5010, 4927, 4893, 4879, 4819, 4671, 4680, 4671, 4660, 4689, 4662, 4651, 4635]",20
"[4835, 4944, 4927, 5010, 9163, 9162, 5082, 5123, 5122, 5100, 9156, 5100, 5122, 8352, 5012, 5021, 9163, 5010, 4927, 4944, 4961, 4854]",20
"[4938, 4950, 4907, 4893, 4927, 4806, 4808, 4893, 4907, 4950, 5021, 5082, 5123]",20
"[9161, 5012, 5021, 9163, 5010, 4927, 4944, 4835, 4854, 4863, 4881, 4732, 4745, 4758, 4779, 4929]",20
"[5012, 5021, 9163, 5021, 5082, 5123, 5082, 9162, 9163, 5010, 4927, 4806, 4697, 4706, 4724, 4732, 4634, 4664]",20
"[4927, 4893, 4879, 4819, 4855, 4920, 5055, 8348, 5105, 8347, 9112, 8347, 5105]",20
"[9155, 9156, 5100, 5122, 8352, 5012, 5021, 4950, 4907, 4893, 4808, 4806, 4697, 4651]",20
"[4794, 4713, 4666, 4645, 4609, 4645, 4666, 4713, 4794, 9173, 4708, 4680, 4671]",20
"[4961, 4944, 4927, 5010, 4907, 4893, 4927, 4944, 4961, 4854, 4863, 4854, 4835, 4706, 4697, 4694, 4689]",20
"[9006, 9007, 4895, 4972, 4899, 4794, 9173, 4708, 4680, 4630, 4650, 4690, 4742, 4794, 4899, 4972]",20
"[4863, 4854, 4835, 4806, 4808, 4893, 4907, 5010, 4927, 4944, 4835, 4806, 4808, 4694, 4689]",20
"[5021, 5082, 5123, 5126, 9162, 9163, 9177, 9164, 4973, 4904, 4863, 4881, 4732]",20
"[4689, 4694, 4662, 4689, 4660, 4671, 4680, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 5123, 5126, 9162, 9163, 5021, 5012]",20
"[9163, 9162, 5126, 9176, 9175, 5123, 5082, 5021, 4950, 4907, 4893, 4927, 4944]",20
"[4694, 4697, 4706, 4724, 4732, 4881, 4863, 4854, 4961, 4944, 4835, 4706, 4724, 4732]",20
"[4565, 4539, 4616, 4605, 4589, 4562, 4651, 4635, 4664, 4634, 4732, 4745, 4758, 4832]",20
"[4706, 4697, 4651, 4662, 4689, 4819, 4855, 4920, 9173, 4794, 4713, 4666, 4645]",20
"[5217, 5193, 5190, 8359, 9176, 9175, 5123, 5082, 5021, 9163, 5010, 4927, 4806, 4697, 4651]",20
"[8345, 9155, 9156, 5100, 5122, 5123, 5126, 9162, 9163, 9177, 9164, 4973, 4904, 4863]",20
"[4927, 4893, 4808, 4694, 4689, 4694, 4808, 4893, 4879, 4819, 4855, 4920, 9173, 4794, 4713, 4666, 4645, 4609, 4645]",20
"[9175, 5123, 5122, 9174, 9175, 5123, 5122, 8352, 5012, 5021, 4950, 4907, 4893, 4927, 4806]",20
"[4697, 4706, 4724, 4732, 4634, 4664, 4724, 4863, 4854, 4863, 4724, 4664, 4634, 4554]",20
"[5082, 9162, 5126, 9176, 9175, 5123, 5082, 9162, 9163, 5021, 4950, 4907, 4893, 4879, 4938, 4950, 5021]",20
"[5021, 4950, 4907, 4893, 4808, 4806, 4697, 4806, 4835, 4944, 4961, 4854, 4863, 4724, 4664, 4634, 4554]",20
